,index,Episode,Speaker,Internal,NumWords
198,198,2,Jeremy,True,5
199,199,2,Jeremy,True,14
200,200,2,Jeremy,True,3
201,201,2,Jeremy,True,7
202,202,2,Jeremy,True,4
203,203,2,Jeremy,True,3
204,204,2,Jeremy,True,7
205,205,2,Jeremy,True,6
206,206,2,Jeremy,True,1
207,207,2,Jeremy,True,4
208,208,2,Jeremy,True,6
209,209,2,Jeremy,False,2
210,210,2,Jeremy,False,2
211,211,2,Jeremy,False,4
212,212,2,Jeremy,False,3
213,213,2,Jeremy,False,8
214,214,2,Jeremy,False,7
215,215,2,Jeremy,False,19
216,216,2,Jeremy,False,8
217,217,2,Jeremy,False,7
218,218,2,Jeremy,True,3
219,219,2,Jeremy,True,13
220,220,2,Jeremy,True,8
221,221,2,Jeremy,True,10
222,222,2,Jeremy,False,5
223,223,2,Jeremy,False,7
224,224,2,Jeremy,False,11
225,225,2,Jeremy,False,1
226,226,2,Jeremy,False,9
227,227,2,Jeremy,False,1
228,228,2,Jeremy,False,6
229,229,2,Jeremy,False,4
230,230,2,Jeremy,False,9
231,231,2,Jeremy,False,1
232,232,2,Jeremy,False,1
233,233,2,Jeremy,False,3
234,234,2,Jeremy,False,12
235,235,2,Jeremy,False,6
236,236,2,Jeremy,False,1
237,237,2,Jeremy,False,5
238,238,2,Jeremy,False,13
239,239,2,Jeremy,False,13
240,240,2,Jeremy,False,4
241,241,2,Jeremy,False,5
242,242,2,Jeremy,False,1
243,243,2,Jeremy,False,3
244,244,2,Jeremy,False,9
245,245,2,Jeremy,False,5
246,246,2,Jeremy,False,2
247,247,2,Jeremy,False,1
248,248,2,Jeremy,False,4
249,249,2,Jeremy,False,4
250,250,2,Jeremy,False,2
251,251,2,Jeremy,False,13
252,252,2,Jeremy,False,11
253,253,2,Jeremy,False,8
254,254,2,Jeremy,False,1
255,255,2,Jeremy,False,16
256,256,2,Jeremy,False,1
257,257,2,Jeremy,False,9
258,258,2,Jeremy,False,16
259,259,2,Jeremy,False,6
260,260,2,Jeremy,False,14
